站碼,站名,縣市,地址,經度,緯度,起始時間,撤站時間,所屬單位
467990,馬祖,連江縣,南竿鄉四維村6鄰88號,26°10' 10〞N,119°55' 23〞E,2004/1/1 上午 12:00:00,,氣象局
467790,墾丁雷達站,屏東縣,恆春鎮燈塔路51巷33號,21°54' 10〞N,120°50' 49〞E,2001/11/1 上午 12:00:00,,氣象局
467780,七股,臺南市,七股區鹽埕237-11號,23°08' 52〞N,120°04' 09〞E,2001/11/1 上午 12:00:00,2016/6/1 上午 12:00:00,氣象局
467770,梧棲,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,24°15' 31〞N,120°30' 54〞E,1976/11/1 上午 12:00:00,,氣象局
467660,臺東,臺東縣,臺東市大同路106號,22°45' 15〞N,121°08' 48〞E,1901/1/1 上午 12:00:00,,氣象局
467650,日月潭,南投縣,魚池鄉水社村中山路270巷14號,23°52' 53〞N,120°54' 29〞E,1940/1/1 上午 12:00:00,,氣象局
467620,蘭嶼,臺東縣,蘭嶼鄉紅頭村2號,22°02' 19〞N,121°33' 02〞E,1941/1/1 上午 12:00:00,,氣象局
467610,成功,臺東縣,成功鎮公民路84號,23°05' 57〞N,121°21' 55〞E,1940/1/1 上午 12:00:00,,氣象局
467590,恆春,屏東縣,恆春鎮天文路50號,22°00' 20〞N,120°44' 17〞E,,,氣象局
467571,新竹,新竹縣,竹北市北崙里3鄰光明五街60號,24°49' 48〞N,121°00' 22〞E,1991/7/1 上午 12:00:00,,氣象局
467570,新竹,新竹市,公園路,24°48' 08〞N,120°58' 10〞E,1938/1/1 上午 12:00:00,1991/7/1 上午 12:00:00,氣象局
467550,玉山,南投縣,信義鄉玉山北峰1號,23°29' 21〞N,120°57' 06〞E,1943/1/1 上午 12:00:00,,氣象局
467540,大武,臺東縣,大武鄉大武街115號,22°21' 27〞N,120°53' 44〞E,1939/1/1 上午 12:00:00,,氣象局
467530,阿里山,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,23°30' 37〞N,120°48' 18〞E,1933/1/1 上午 12:00:00,,氣象局
467490,臺中,臺中市,北區精武路295號,24°08' 51〞N,120°40' 33〞E,,,氣象局
467480,嘉義,嘉義市,西區北新里海口寮路56號,23°29' 52〞N,120°25' 28〞E,1968/9/1 上午 12:00:00,,氣象局
467440,高雄,高雄市,前鎮區明孝里26鄰漁港南二路2號,22°34' 04〞N,120°18' 29〞E,1931/1/1 上午 12:00:00,,氣象局
467420,永康,臺南市,永康區鹽行里正南五街520巷88號,23°02' 22〞N,120°13' 43〞E,1947/6/1 上午 12:00:00,,氣象局
467411,臺南(永康),臺南市,永康區中正南路654巷40弄1號,23°02' 22〞N,120°13' 43〞E,1998/5/1 上午 12:00:00,2002/1/1 上午 12:00:00,氣象局
467410,臺南,臺南市,中西區公園路21號,22°59' 42〞N,120°11' 48〞E,,,氣象局
467350,澎湖,澎湖縣,馬公市新興路2號,23°34' 02〞N,119°33' 19〞E,,,氣象局
467300,東吉島,澎湖縣,望安鄉東吉村156號,23°15' 32〞N,119°39' 35〞E,1962/1/1 上午 12:00:00,,氣象局
467110,金門,金門縣,金城鎮金水里西海路一段250號,24°24' 27〞N,118°17' 21〞E,2004/1/1 上午 12:00:00,,氣象局
467080,宜蘭,宜蘭縣,宜蘭市力行路150號,24°45' 56〞N,121°44' 53〞E,1935/1/1 上午 12:00:00,,氣象局
467060,蘇澳,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),24°36' 06〞N,121°51' 52〞E,1981/7/1 上午 12:00:00,,氣象局
467050,新屋,桃園市,新屋區東興路二段946號,25°00' 31〞N,121°02' 21〞E,2013/7/1 上午 12:00:00,,氣象局
466990,花蓮,花蓮縣,花蓮市花崗街24號,23°58' 37〞N,121°36' 18〞E,1910/1/1 上午 12:00:00,,氣象局
466950,彭佳嶼,基隆市,中正區彭佳嶼,25°37' 46〞N,122°04' 17〞E,1910/1/1 上午 12:00:00,,氣象局
466940,基隆,基隆市,仁愛區港西街6號6樓(海港大樓6樓),25°08' 05〞N,121°43' 56〞E,1946/1/1 上午 12:00:00,,氣象局
466930,竹子湖,臺北市,北投區陽明山竹子湖路2號,25°09' 54〞N,121°32' 11〞E,1937/1/1 上午 12:00:00,,氣象局
466921,臺北(師院),臺北市,中正區公園路,25°02' 17〞N,121°30' 18〞E,1992/2/1 上午 12:00:00,1997/9/1 上午 12:00:00,氣象局
466920,臺北,臺北市,中正區公園路64號,25°02' 22〞N,121°30' 24〞E,,,氣象局
466910,鞍部,臺北市,北投區陽明山竹子湖路111號,25°11' 11〞N,121°31' 12〞E,1937/1/1 上午 12:00:00,,氣象局
466900,淡水,新北市,淡水區中正東路42巷6號,25°09' 56〞N,121°26' 24〞E,1942/1/1 上午 12:00:00,,氣象局
466880,板橋,新北市,板橋區大觀路二段265巷62號,24°59' 58〞N,121°26' 02〞E,1972/3/1 上午 12:00:00,,氣象局
466850,五分山雷達站,新北市,瑞芳區靜安路四段1巷1號,25°04' 22〞N,121°46' 21〞E,1998/7/1 上午 12:00:00,,氣象局
